"slug","name"
"terreja01","Jared Terrell"
"trentga02","Gary Trent"
"thomakh01","Khyri Thomas"
"derrima01","Marcus Derrickson"
"edwarvi01","Vince Edwards"
"wagnemo01","Moritz Wagner"
"davisty01","Tyler Davis"
"miltosh01","Shake Milton"
"blossja01","Jaron Blossomgame"
"bongais01","Isaac Bonga"
"stephdj01","D.J. Stephens"
"kingge03","George King"
"carteje01","Jevon Carter"
"alkinra01","Rawle Alkins"
"goodwbr01","Brandon Goodwin"
"caupatr01","Troy Caupain"
"jeffeam01","Amile Jefferson"
"macurjp01","J.P. Macura"
"walkelo01","Lonnie Walker"
"highsha01","Haywood Highsmith"
"adelde01","Deng Adel"
"washbju01","Julian Washburn"
"vandeja01","Jarred Vanderbilt"
"creekmi01","Mitch Creek"
"terryem01","Emanuel Terry"
"sampsbr01","Brandon Sampson"
"chealjo01","Joe Chealey"
"delgaan01","Angel Delgado"
"grantdo01","Donte Grantham"
"duvaltr01","Trevon Duval"
"colsobo01","Bonzie Colson"
"siberjo01","Jordan Sibert"
"mccalta01","Tahjere McCall"
"johnsbj01","B.J. Johnson"
"reynoca01","Cameron Reynolds"
"bertada02","Dairis Bertans"
"antetko01","Kostas Antetokounmpo"
"chiozch01","Chris Chiozza"
"machasc01","Scott Machado"
"smithzh01","Zhaire Smith"
"jonesje01","Jemerrio Jones"
"hannadu01","Dusty Hannahs"
"humphis01","Isaac Humphries"
"garrebi01","Billy Garrett"
"matenya01","Yante Maten"
